,Execution Time
0,1441.4319668919998
1,1445.8281145630026
2,1450.9697462080003
3,1448.2120216579933
4,1455.0222787270031
5,1452.235161286997
6,1445.6557934599987
7,1455.7444598859947
8,1446.1827138940062
9,1455.5939742909977
10,1442.8399752590049
11,1451.7155464110037
12,1256.8685364179983
13,1143.3348432730054
14,1146.1546677110018
15,1149.5188655060047
16,1148.6226258950046
17,1151.8571610209983
18,1151.8998736379872
19,1153.0703900020017
20,1158.6201689320005
21,1150.5921183040045
22,1152.117453126004
23,1151.9460439070099
24,1160.3507625740021
