,Execution Time
0,843.0516242239974
1,840.8454849779955
2,841.6251437359897
3,841.5666896210023
4,841.8106127560022
5,850.230072241
6,852.086905343007
7,852.4130279160017
8,854.9432334790035
9,858.1402562459989
10,855.1534138010029
11,849.3256939120038
12,840.1116097489867
13,840.6527855949971
14,842.2584961420071
15,842.0325304280123
16,843.1487753239926
17,844.3386110360007
18,843.3961230970017
19,846.1976020250004
20,844.7056403120077
21,847.4528689660074
22,846.7313131089904
23,846.0748890200048
24,844.4127910350071
